Skill,Type,Category,Count
Machine Learning,Hard,Machine Learning Algorithms/Models,47
Python (Programming Language),Hard,Programming Languages,46
Computer Science,Hard,Other,35
Data Science,Hard,Data Analytics & Visualization,31
Innovation,Soft,Business and Communication,29
Communications,Soft,Business and Communication,29
Deep Learning,Hard,Machine Learning Algorithms/Models,23
Research,Soft,Problem Solving and Research,23
Algorithms,Hard,Problem Solving and Research,21
PyTorch (Machine Learning Library),Hard,Tools and Libraries,19
Scalability,Hard,Other,19
Amazon Web Services,Hard,Cloud and Infrastructure,19
SQL (Programming Language),Hard,Data Management,18
R (Programming Language),Hard,Programming Languages,18
Mathematics,Hard,Mathematics and Statistics,17
TensorFlow,Hard,Machine Learning Algorithms/Models,17
Natural Language Processing,Hard,Machine Learning Algorithms/Models,16
Writing,Soft,Business and Communication,14
Data Analysis,Hard,Data Analytics & Visualization,13
Scikit-Learn (Python Package),Hard,Tools and Libraries,12
Application Programming Interface (API),Hard,Tools and Libraries,12
Apache Spark,Hard,Cloud and Infrastructure,12
Problem Solving,Hard,Problem Solving and Research,12
DevOps,Hard,Cloud and Infrastructure,12
Microsoft Azure,Hard,Cloud and Infrastructure,12
Tableau (Business Intelligence Software),Hard,Data Analytics & Visualization,10
Statistics,Hard,Mathematics and Statistics,10
Detail Oriented,Soft,Other,10
Software Engineering,Hard,Programming Languages,10
MLOps (Machine Learning Operations),Hard,Other,9
Java (Programming Language),Hard,Programming Languages,9
Security Clearance,Hard,Other,9
Docker (Software),Hard,Cloud and Infrastructure,9
C++ (Programming Language),Hard,Programming Languages,9
Linux,Hard,Other,9
Git (Version Control System),Hard,Tools and Libraries,9
Artificial Intelligence,Hard,Machine Learning Algorithms/Models,9
CI/CD,Hard,Other,9
Leadership,Soft,Business and Communication,8
Data Pipelines,Hard,Data Management,8
Kubernetes,Hard,Cloud and Infrastructure,8
JavaScript (Programming Language),Hard,Programming Languages,8
Management,Soft,Business and Communication,8
Operations,Soft,Other,8
Unstructured Data,Hard,Other,8
Pandas (Python Package),Hard,Data Analytics & Visualization,8
Automation,Hard,Other,8
Large Language Modeling,Hard,Machine Learning Algorithms/Models,8
Unit Testing,Hard,Programming Languages,8
Cloud Computing,Hard,Cloud and Infrastructure,7
Computer Vision,Hard,Machine Learning Algorithms/Models,7
Self-Motivation,Soft,Business and Communication,7
Agile Methodology,Soft,Other,7
Debugging,Hard,Other,7
Curiosity,Soft,Other,7
C (Programming Language),Hard,Programming Languages,7
Predictive Modeling,Hard,Machine Learning Algorithms/Models,7
Extract Transform Load (ETL),Hard,Data Management,7
Applied Mathematics,Hard,Mathematics and Statistics,7
Software Development,Hard,Programming Languages,7
Authorization (Computing),Hard,Other,6
Nvidia CUDA,Hard,Tools and Libraries,6
NumPy (Python Package),Hard,Tools and Libraries,6
Keras (Neural Network Library),Hard,Tools and Libraries,6
Statistical Modeling,Hard,Mathematics and Statistics,6
Honesty,Soft,Business and Communication,6
Advanced Analytics,Hard,Data Analytics & Visualization,6
Version Control,Hard,Tools and Libraries,6
Physics,Hard,Mathematics and Statistics,6
Data Engineering,Hard,Data Management,6
Generative Artificial Intelligence,Hard,Machine Learning Algorithms/Models,6
Dashboard,Hard,Data Analytics & Visualization,6
Relational Databases,Hard,Data Management,6
Operations Research,Hard,Mathematics and Statistics,6
Presentations,Soft,Business and Communication,6
Jenkins,Hard,Tools and Libraries,6
Machine Learning Algorithms,Hard,Machine Learning Algorithms/Models,5
Finance,Soft,Business and Communication,5
English Language,Soft,Business and Communication,5
Github,Hard,Tools and Libraries,5
Troubleshooting (Problem Solving),Hard,Problem Solving and Research,5
Data Warehousing,Hard,Data Management,5
Marketing,Soft,Business and Communication,5
NoSQL,Hard,Data Management,5
Planning,Soft,Other,5
Electrical Engineering,Hard,Other,5
React.js (Javascript Library),Hard,Programming Languages,5
Artificial Neural Networks,Hard,Machine Learning Algorithms/Models,5
Investigation,Soft,Problem Solving and Research,5
Decision Making,Soft,Other,5
Computer Engineering,Hard,Other,5
Big Data,Hard,Data Management,5
Apache Hadoop,Hard,Cloud and Infrastructure,5
Business Requirements,Soft,Business and Communication,5
Technology Solutions,Soft,Other,5
Apache Hive,Hard,Data Management,5
Technical Documentation,Soft,Business and Communication,5
Computer Architecture,Hard,Other,5
Consulting,Soft,Business and Communication,5
Data Visualization,Hard,Data Analytics & Visualization,5
Chemistry,Hard,Other,5
Perl (Programming Language),Hard,Programming Languages,4
