Title,Link,ID,Date,Description
Part-Time Data Scientist,https://www.indeed.com/rc/clk?jk=3fc4ca66b55cc123&fccid=ff085de14d31bf52&vjs=3,job_3fc4ca66b55cc123,6 days ago,"Overview:
The EPA National Student Services Contract has an immediate opening for a part-time Data Scientist position with the Office of Research and Development at the EPA facility in Research Triangle Park, NC.
The Office of Research and Development at the EPA supports high-quality research to improve the scientific basis for decisions on national environmental issues and help EPA achieve its environmental goals. Research is conducted in a broad range of environmental areas by scientists in EPA laboratories and at universities across the country.
What the EPA project is about
The EPA Center for Computational Toxicology and Exposure (CCTE) is responsible for developing new computational tools and providing quantitative analysis for improving public health and environmental risk assessments and regulatory decisions pertaining to chemical safety. CCTE researchers integrate advances in biology, biotechnology, chemistry, and computer science to identify important biological processes that may be disrupted by the chemicals. The combined information helps prioritize chemicals based on potential human health risks. Using computational toxicology research, thousands of chemicals can be evaluated for potential risk at small cost in a very short amount of time.

EPA is responsible for ensuring the safety of thousands of chemicals but quantitative exposure data are available for only a small fraction of registered chemicals. As part of its ongoing efforts to support implementation of the Toxic Substance Act as revised by the Frank R. Lautenberg Chemical Safety for the 21st Century Act, EPA researchers are developing innovative methods to make exposure estimates for thousands of chemicals. These type of exposure data are combined with toxicity data to help thoroughly evaluate chemicals for potential health effects (https://www.epa.gov/chemical-research/rapid-chemical-exposure-and-dose-research).
Responsibilities:
As a team member, you will provide data management, data curation and data analysis support for EPA’s HTTK and ExpoCast project. This project focuses on analyzing a database of in vitro toxicokinetic data, application of machine learning techniques (e.g., Random Forest) to generate predictive models, and the creation of R packages to package and distribute the R code and data for re-use by others. Toxicokinetics describes the absorption, distribution, metabolism, and excretion of chemicals by the body. Toxicokinetic information is needed to understand the risks posed by chemicals in the environment to the public health. The team member will be a member of a multi-disciplinary research team and support the development, maintenance, and analysis of EPA’s HTTK and ExpoCast projects.

Data Development and Analysis responsibilities will include:
Implementation of machine learning techniques using caret (R) or and/or Sci-Kit learn (Python);
Preparation and quality control of data and workflows;
Creation of metadata and fact sheets supporting the data products; and
Literature review.

Communications-related responsibilities will include:
Participating as a member of a multi-disciplinary research team;
Interacting with other members of the development team as well as EPA scientists; and
Documenting code via Bitbucket and GitHub.

Required Knowledge, Skills, Work Experience, and Education
Strong written, oral, and electronic communication skills;
Experience programming in R or Python; and
Experience in machine learning.

Desired Knowledge, Skills, Work Experience, and Education
Experience in chemical informatics and
Experience documenting code via Bitbucket and/or Github.

Location: This job will be located EPA’s facility in Research Triangle Park, NC.
Salary: Selected applicant will become a temporary employee of ORAU and will receive an hourly wage of $28.52 for hours worked.
Hours: Part-time.
Travel: Travel will not be required.
Expected start date: The position is part time and expected to begin November 2023. The selected applicant will become a temporary employee of ORAU working as a contractor to EPA. The contract renews each May through 2025.
For more information, contact EPANSSC@orau.org. Do not contact EPA directly.
Qualifications:
Be at least 18 years of age and
Have earned at least a bachelor’s degree in the fields of environmental science, chemistry, applied mathematics, computer science or a related field plus one year of graduate school from an accredited university or college within the last 24 months and
Be a citizen of the United States of America or a Legal Permanent Resident.

EPA ORD employees, their spouses, and children are not eligible to participate in this program."
Software Development Engineer [DEPT: WPC-Analytics/Data Science AP],https://www.indeed.com/rc/clk?jk=91e10c34da1faf6c&fccid=c1099851e9794854&vjs=3,job_91e10c34da1faf6c,15 days ago,"Summary
Posted: Aug 14, 2023
Weekly Hours: 40
Role Number: 200496347
Imagine what you can do here. Apple is a place where extraordinary people gather to do their lives best work. Together we create products and experiences people once couldn’t have imagined, and now, can’t imagine living without. It’s the diversity of those people and their ideas that inspires the innovation that runs through everything we do.
Key Qualifications
Master’s degree or foreign equivalent in Computer Science, Software Engineering, Electrical Engineering, Information Technology or related field and 2 years of experience in the job offered or related occupation. Alternatively, employer will accept a Bachelor’s degree or foreign equivalent in Computer Science, Software Engineering, Electrical Engineering, Information Technology or related field and 5 years of progressive, post-baccalaureate experience in the job offered or related occupation.
1 year of experience with each of the following skills is required:
ETL, BI and Data analytics
Apache Hadoop, Apache Hive, Apache Sqoop or Apache Spark
Extract data and implement data pipelines & SQL friendly data structures
Apache AVRO, Apache Parquet and common methods in data transformation
Dependency driven job schedulers
Teradata or ANSI SQL
Description
Multiple positions available in Cary, North Carolina. Translate business requirements by business team into data and engineering specifications. Build scalable data sets based on engineering specifications from the available raw data. Work with engineering and business partners to define and implement the data engagement relationships required with partners. Understand and Identify server APIs that needs to be instrumented for data analytics and reporting and align the server events for execution in already established data pipelines. Analyze complex data sets, identify and formulate correlational rules between heterogenous sources for effective analytics and reporting. Process, clean and validate the integrity of data used for analysis. Develop Python and Shell Scripts for data ingestion from external data sources for business insights. Work hand in hand with the DevOps team and develop monitoring and alerting scripts on various data pipelines and jobs. Mentor a team of hardworking engineers. 40 hours/week.
Education & Experience
Additional Requirements"
Data Scientist,https://www.indeed.com/rc/clk?jk=67f58ca6da53e417&fccid=c67533a523c83a4c&vjs=3,job_67f58ca6da53e417,7 days ago,"Infosys is seeking Data Scientists with Machine Learning (ML), AI and Python experience. Ideal candidate is expected to have prior experience in end-to-end implementation of Machine Learning models that includes identification of ‘right’ problem, designing ‘optimum’ solution, implementing using ‘best in class’ practices and deploying the models to production. Will work in alignment with data strategy at various clients, using multiple technologies and platforms.

Required Data Scientist Qualifications:
Bachelor’s Degree or foreign equivalent will also consider three years of progressive experience in the specialty in lieu of every year of education.
At least 4 years of Information Technology experience
At least 1 years of hands-on data science with machine learning
Experiences with Python or R
Experience with data gathering, data quality, system architecture, coding best practices
Experience with Lean / Agile development methodologies
This position may require travel, will involve close co-ordination with offshore teams

Infosys encourages U.S. Citizens, lawful permanent residents, and those lawfully authorized to work in the U.S. to apply

Preferred Data Scientist Qualifications:
4 years of hands-on experience with more than one programming language; Python, R, Scala, Java, SQL
Deep Learning experience with CNNs, RNN, LSTMs and the latest research trends
Experience or Knowledge with Generative AI and working with any Large Language Models.
Prior experience in cognitive services provided by various platforms such as AWS, GCP, Azure, IBM Watson
Prior experience in Azure chatbot, Google DialogFlow, Alexa, RASA, Amazon Lex
Experience with perception (e.g. computer vision), time series data (e.g. text analysis)
Big Data Experience strongly preferred, HDFS, Hive, Spark, Scala
Data visualization tools such as Tableau, Query languages such as SQL, Hive
Good applied statistics skills, such as distributions, statistical testing, regression, etc.

About Us
Infosys is a global leader in next-generation digital services and consulting. We enable clients in more than 50 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

Infosys is an equal opportunity employer and all qualified applicants will receive consideration without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, spouse of protected veteran, or disability."
Entry Level Software Engineer (Hybrid),https://www.indeed.com/rc/clk?jk=01e1006b9ee41807&fccid=200a825acadb9338&vjs=3,job_01e1006b9ee41807,,"Job Description
The BAE Systems GXP Software Team, based in Durham NC near Research Triangle Park, is seeking highly motivated entry level software engineers to join our team. We are looking for candidates that will enjoy developing unique, cutting-edge solutions that help people make sense of exquisite imagery, video, and other sophisticated remote sensor data. We value those who are curious to explore the ""what"", ""when"", ""how"", and ""why"" of world events using advanced technologies. We encourage attitudes towards problem solving driven by persistence, innovation, teamwork and a willingness to meet challenges head on.

Our team develops state-of-the art software for sensor-data processing, analysis, storage, and visualization for challenging problems in the areas of video analytics, image processing, and other temporal data sources. We utilize the most advanced techniques for data science, machine learning, computer vision, statistical analysis, and cloud computing to discover hidden patterns in big data. We develop end-to-end applications that process data for desktop, web, embedded platforms, and large scale cloud computing environments. We believe collaboration is key, as such, you will be paired with a mentor to facilitate a smooth onboarding process as you become familiar with our products and the technologies we employ.

Our commercial software products include:
GXP InMotion Server - ingests and streams real-time data feeds, providing recording and analytics capabilities
GXP InMotion Desktop - video and image analysis application
Track Analytics Software Suite (TASS) - a suite of algorithms for analyzing geospatial data
MOVINT Database - a geospatial big-data store with RESTful web service interfaces
GXP InMotion Web / MOVINT- a browser-based front end for visualizing and analyzing geospatial data
You can read more about our software and solutions here:
InMotion Desktop and Server - https://www.geospatialexploitationproducts.com/content/gxpinmotion/
MOVINT Solutions - https://www.geospatialexploitationproducts.com/content/movint/

As a member of our software group, you will contribute to a highly-motivated small team responsible for software development and data analysis for client-driven programs, and the integration of these technologies into core BAE Systems products and customer platforms. The ideal candidate enjoys learning in a challenging technical environment; collaborating on multiple teams and projects; and can apply their technical skill and innovation towards solving real-world problems.

Because this role involves a combination of collaborative/in-person and independent work, it will take the form of a hybrid work format, with time split between working onsite and remotely.

Required Education, Experience, & Skills
We are seeking candidates that are motivated to develop skills in new technical areas, solve challenging and unique problems, and enjoy working on a diverse range of assignments. Developers that know how to profile, optimize, and test their own code will fit best within our skilled and dynamic small team. Other job requirements include:
Knowledge and experience Python, Java, C++, or JavaScript (any)
Understanding of object-oriented programming concepts
Strong analytical, problem-solving, communication, debugging and test skills
Familiarity with both Linux and Windows operating systems
U.S. CITIZENSHIP REQUIRED. Candidates selected for some positions will be subjected to a government security investigation and will need to meet eligibility requirements for access to classified information.

Preferred Education, Experience, & Skills
While not critical to the open position, experience with the following skills are useful in our organization and will be helpful as you expand your roles and responsibilities:
Course work one or more: Algorithms, Artificial Intelligence, Computer Architecture, Computer Graphics, Computer Networking, Data Science, Database Systems, Machine Learning, Operating Systems, UI/UX Design, Cloud technologies (e.g. Docker, Kubernetes)
Familiarity with software development/engineering, including requirements analysis, software development, installation, integration, evaluation, enhancement, maintenance, testing, and problem diagnosis/resolution.

Pay Information
Full-Time Salary Range: $52395 - $89107

Please note: This range is based on our market pay structures. However, individual salaries are determined by a variety of factors including, but not limited to: business considerations, local market conditions, and internal equity, as well as candidate qualifications, such as skills, education, and experience.

Employee Benefits: At BAE Systems, we support our employees in all aspects of their life, including their health and financial well-being. Regular employees scheduled to work 20+ hours per week are offered: health, dental, and vision insurance; health savings accounts; a 401(k) savings plan; disability coverage; and life and accident insurance. We also have an employee assistance program, a legal plan, and other perks including discounts on things like home, auto, and pet insurance. Our leave programs include paid time off, paid holidays, as well as other types of leave, including paid parental, military, bereavement, and any applicable federal and state sick leave. Employees may participate in the company recognition program to receive monetary or non-monetary recognition awards. Other incentives may be available based on position level and/or job specifics.

About BAE Systems Electronic Systems
About BAE Systems and GXP
""Geospatial solutions to ensure a safer world.” BAE Systems' Geospatial eXploitation Products (GXP™) software solutions deliver an unrivaled capacity for discovery, exploitation, and dissemination of mission-critical geospatial data. From key military, security, and incident response operations, to a variety of commercial development and research initiatives, GXP software provides a comprehensive suite of solutions enabling timely and effective decision-making.

The GXP Durham, NC development team was founded in 2004 as Signal Innovations Group (SIG) and acquired by BAE Systems, Inc. in 2014. We perform commercial software development and contract research and development in the areas of geospatial data analysis, visualization, storage; image processing; and data analytics. We collaborate with teams in San Diego, Rome NY, and Malaysia. Our team values technical excellence, individual initiative, and strong work-life balance. Our team strives to create an innovative, agile, and collaborative work environment, much like our legacy as a small business, but leverages the resources of BAE Systems.
https://www.geospatialexploitationproducts.com/

About BAE Systems, Electronic Systems
BAE Systems, Inc. is the U.S. subsidiary of BAE Systems plc, an international defense, aerospace and security company which delivers a full range of products and services for air, land and naval forces, as well as advanced electronics, security, information technology solutions and customer support services. Improving the future and protecting lives is an ambitious mission, but it’s what we do at BAE Systems. Working here means using your passion and ingenuity where it counts – defending national security with breakthrough technology, superior products, and intelligence solutions. As you develop the latest technology and defend national security, you will continually hone your skills on a team—making a big impact on a global scale. At BAE Systems, you’ll find a rewarding career that truly makes a difference. Electronic Systems (ES) is the global innovator behind BAE Systems’ game-changing defense and commercial electronics. Exploiting every electron, we push the limits of what is possible, giving our customers the edge and our employees opportunities to change the world. Our products and capabilities can be found everywhere – from the depths of the ocean to the far reaches of space. At our core are more than 14,000 highly talented Electronic Systems employees with the brightest minds in the industry, we make an impact – for our customers and the communities we serve. At BAE Systems, we celebrate the array of skills, experiences, and perspectives our employees bring to the table. For us, differences are a source of strength. We’re laser-focused on high performance, and we work hard every day to nurture an inclusive culture where all employees can innovate and thrive. Here, you will not only build your career, but you will also enjoy work-life balance, uncover new experiences, and collaborate with passionate colleagues."
Senior Data Engineer,https://www.indeed.com/rc/clk?jk=11ce87d3ded508e5&fccid=194eef4c168b8cc5&vjs=3,job_11ce87d3ded508e5,,"Department
Engineering
Location
Cary
North Carolina, United States
Product
Epic Online Services
Company
Epic Games
Requisition ID
R24374

WHAT MAKES US EPIC?
At the core of Epic’s success are talented, passionate people. Epic prides itself on creating a collaborative, welcoming, and creative environment. Whether it’s building award-winning games or crafting engine technology that enables others to make visually stunning interactive experiences, we’re always innovating.
Being Epic means being a part of a team that continually strives to do right by our community and users. We’re constantly innovating to raise the bar of engine and game development.
ECOSEC
What We Do
Our ECOSEC team provides a safer experience for Epic's users. We work across multiple products and services to improve technology and craft transparent policies so our players and users can have positive experiences on our platforms.
What You'll Do
You will be responsible for designing, building, and maintaining our data infrastructure to ensure the reliability and efficiency of our data and systems used by our Ecosystem Security team. Your role will include building and maintaining data pipelines which transform and load data from various products and managing the AWS infrastructure for our machine learning platform. Additionally, you will work with engineers, product managers, and data scientists to design and implement robust and scalable data services that support the Ecosystem Security mission while ensuring our user’s privacy. Your work will directly combat bad actors and keep our platform safe for all users.
In this role, you will
Interact with product teams to understand how our safety systems interact with their data systems
Design and implement automated end-to-end ETL process to prepare data for machine learning and ad-hoc analysis, including data anonymization
Manage and scale the tools and technologies that we use to label data which run on AWS
Devise database structure and technology for storing and efficiently accessing large data sets (millions of records) of different types (text, images, videos, etc.)
Use and implement data extraction APIs
Support data versioning strategies using automated tools, such as DVC
Support devising strategies for labeling of new data by humans
What we're looking for
Strong analytical background: BSc or MSc in Computer Science/Software Engineering or related subject - candidates without a degree are welcome as long as they have proven extensive hands-on experience
Experience of ETL technical design, automated data quality testing, QA and documentation, data warehousing, and data modeling
Experience with Python for interaction with Web Services (e.g. Rest and Postman)
Experience with using and developing data APIs
Experience with using AWS, Snowflake, or other comparable large scale analytics platforms
Experience monitoring and managing databases (we use Elasticsearch/MongoDB/PostgreSQL)
Experience with SQL
Experience with data versioning tools
Experience developing and maintaining data infrastructure for ETL pipelines, such as Apache Airflow
This role is open to multiple locations in North America and Europe (excluding CA, NY, and WA).
EPIC JOB + EPIC BENEFITS = EPIC LIFE
Our intent is to cover all things that are medically necessary and improve the quality of life. We pay 100% of the premiums for both you and your dependents. Our coverage includes Medical, Dental, a Vision HRA, Long Term Disability, Life Insurance & a 401k with competitive match. We also offer a robust mental well-being program through Modern Health, which provides free therapy and coaching for employees & dependents.
Throughout the year we celebrate our employees with events and company-wide paid breaks. We offer unlimited PTO and sick time and recognize individuals for 7 years of employment with a paid sabbatical.
ABOUT US
Epic Games spans across 19 countries with 55 studios and 4,500+ employees globally. For over 25 years, we’ve been making award-winning games and engine technology that empowers others to make visually stunning games and 3D content that bring environments to life like never before. Epic’s award-winning Unreal Engine technology not only provides game developers the ability to build high-fidelity, interactive experiences for PC, console, mobile, and VR, it is also a tool being embraced by content creators across a variety of industries such as media and entertainment, automotive, and architectural design. As we continue to build our Engine technology and develop remarkable games, we strive to build teams of world-class talent.
Like what you hear? Come be a part of something Epic!
Epic Games deeply values diverse teams and an inclusive work culture, and we are proud to be an Equal Opportunity employer.
Note to Recruitment Agencies: Epic does not accept any unsolicited resumes or approaches from any unauthorized third party (including recruitment or placement agencies) (i.e., a third party with whom we do not have a negotiated and validly executed agreement). We will not pay any fees to any unauthorized third party."
Data Scientist,https://www.indeed.com/company/Ecosystem-Planning-and-Restoration/jobs/Data-Scientist-d387dda7d2ae9e73?fccid=7aa57bfb99c8b5af&vjs=3,job_d387dda7d2ae9e73,,"Data Scientist
Ecosystem Planning and Restoration, LLC
Job description
Ecosystem Planning and Restoration, LLC, (EPR) has an open position for a full-time Data Scientist. The position may be remote, hybrid, or in-office at any one of our locations in Houston, TX, San Antonio, TX, Raleigh, NC, Asheville, NC, and Columbia, MD.
Company Information
Ecosystem Planning and Restoration, LLC specializes in providing environmental planning, ecosystem restoration and mitigation, environmental studies, permitting, watershed studies and water resources engineering services throughout the United States. The company was founded in 2012 as a premier ecosystem planning & restoration firm providing services to support a sustainable environment. We are a growing firm devoted to providing exceptional quality to our clients, and an exciting and diverse workplace for our staff. In 2017, EPR was ranked #508 on Inc. 5000’s list of the fastest growing companies in the US, and also was rated the #1 Environmental Firm to Work For by Zweig White in 2017 and 3rd in 2018.
Our experience includes hundreds of stream & wetland restoration projects, design & construction, development of regional curves and reference reach data sets and monitoring of past projects to continually advance the science for Environmental Services. Our environmental planning services assist federal, state, municipal organizations, and private clients with their regulatory compliance needs. We have extensive experience with National Environmental Policy Act (NEPA) and related state regulations.
Please Note: We regret we are currently unable to provide international visa sponsorship opportunities.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.
· Manage environmental projects including contracting; scopes and fees, AR/AP, subconsultants, task assignments, client communication, deliverables, budgets, and schedules.
· Determine the appropriate Machine Learning (ML)/Artificial Intelligence (AI) solution based on the data set and goal of the model.
· Develop models that can be scaled and easily deployed.
· Utilize feature engineering and model tuning to improve model performance.
· Assist the team in the deployment and maintenance of the models.
· Document the model development process.
· Communicate the model and results to clients and internal staff.
QUALIFICATION REQUIREMENTS:
· The ability to produce high-quality deliverables, excellent organizational and analytical skills, strong writing proficiency, and a demonstrated aptitude with relating biological data to broader ecological, restoration, or management issues.
· At least 4 years of professional experience working as a Data Scientist.
· Proficient in both Python and R. If not proficient in both, working knowledge of the other language is required.
· Working knowledge of relational databases and SQL.
· Capable of working with clients in the model development process.
· Desirable skills: Experience with both supervised and unsupervised learning, Google Cloud or AWS, Remote Sensing, Shiny Framework, Dash Framework, Experience publishing research in peer-reviewed journals, GIS (QGIS or ArcGIS Pro,) Open-source geospatial packages (GDAL, Rioxarray, Geopandas, etc.) and Database construction and management.
· Additional languages: JavaScript, HTML, CSS.
EDUCATION and/or EXPERIENCE:
· Bachelors or master’s degree in a related field, from an accredited university. Degrees of interest include Data Science, Mathematics, Statistics, or Computer Science.
BENEFITS: May include the following:
- Health insurance
- 401k with company match
- Employee bonus plan
- Vacation and sick leave
- Continuing education training
- Salary is commensurate with experience and abilities
Visit our website for further information on our company – www.eprusa.net
Job Type: Full-time
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
Application Question(s):
Have you built and deployed a machine-learning model?
Which office location is nearest to you?
Are you legally authorized to work in the U.S. without the need for visa sponsorship?
Work Location: In person"
Junior Research Scientist – Machine Learning,https://www.indeed.com/rc/clk?jk=c392ab7a4c4b686b&fccid=600e6abd00b4b668&vjs=3,job_c392ab7a4c4b686b,,"The Analytical and Spatial Intelligence Research Team (ASIRT) at Applied Research Associates, Inc. (ARA) is seeking scientists/researchers interested in developing artificial intelligence, machine learning, and computer vision software to solve challenging problems for the US defense and intelligence communities. We perform fundamental and applied research in many open areas, including edge, zero-shot learning, explainability, robustness to adversarial attacks, and lifelong learning. We are a close-knit team of creative thinkers from diverse backgrounds who collaborate to find non-standard solutions to challenging problems. We encourage candidates with a creative and entrepreneurial spirit who seek a research career within a stable industry to apply.
Remote work will be considered for qualified applicants.
Junior Research Scientist – Machine Learning Position Highlights:
Research, develop, test, and deploy artificial intelligence, machine learning, and computer vision algorithms
Process and analyze data from different sources, including satellites, unmanned aerial vehicles, ground vehicles, human-wearables, and smart devices
Enjoy a challenging technical career with opportunities for personal growth
Junior Research Scientist – Machine Learning Required Experience & Skills:
US citizenship required
Eligibility to apply for and hold a U.S. security clearance (selected applicants will undergo a security investigation and must meet eligibility requirements at the time of employment)
Master of Science (MS) degree or above in a related discipline (Computer Science, Mathematics, Physics, Mechanical Engineering, etc.)
Strong foundation and experience using modern AI/ML software libraries (TensorFlow, Keras, PyTorch, or similar)
Experience with one or more of the following: deep learning, reinforcement learning, graph algorithms, robust optimization, continual learning, or probabilistic inference.
Strong foundation in software development in two or more of the following languages: Python, C/C++, Java, MATLAB, CUDA, or other low-level and high-level programming languages
Experience with collaborative software development and version control
Proficiency in one of the following areas: mathematics, physics, robotics, sensor fusion, machine learning, computer vision, or signal processing
Junior Research Scientist – Machine LearningDesirable Experience & Skills:
Experience with cloud computing
Experience with AWS, S3, Docker and Kubernetes
Experience developing software for execution on edge devices (GPUs, mobile phones, deployed CPU)
Experience writing technical reports/proposals
Experience working on intelligence and DoD programs
Anticipated salary range: $59,175 - $98,625. Offer may vary depending on experience and skill set.
Who is ARA?
Do you want to work for a purpose? Applied Research Associates, Inc. (aka ARA) is an employee-owned international research and engineering company. We have been providing technically superior solutions to complex and challenging problems in the physical sciences since 1979. ARA has over 1,700 employee-owners and continues to grow rapidly. Together, our offices throughout the U.S. and Canada provide a broad range of technical expertise in defense, civil, and health technologies, computer software and simulation, systems analysis, environmental technologies, and testing and measurement.
ARA also prides itself, on having a challenging culture where innovation & experimentation are the norm. The motto, “Engineering and Science for Fun and Profit” sums up the ARA experience. Employee ownership ensures you have a voice with what happens in the company. We are also very proud of our Women’s Initiative Network (WIN), whose purpose is to motivate, support, and encourage professional career development for women to maximize career and professional accomplishments.
To find out more about what the Intelligence, Surveillance & Reconnaissance Division has to offer, visit our website at: https://www.ara.com/benefits/
Education
Required
Masters or better in Computer Science or related field
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)"
Machine Learning Engineer,https://www.indeed.com/rc/clk?jk=c1897340dd6ae2d2&fccid=5abf133a63062c9b&vjs=3,job_c1897340dd6ae2d2,12 days ago,"Description
Vadum Inc. is seeking a Machine Learning Engineer that will assist with the design and development of prototyping, concept design and analysis under direct (or limited) supervisor of a senior engineer. An additional goal of the position is to develop more advanced applied engineering skills as well.
Key Reponsibilities:
Design and develop high quality, testable and scalable software solutions within established timelines.
Actively involves other project stakeholders to ensure implementation satisfies functional requirements and is consistent with established R&D standards.
Participates in project scoping and scheduling; track progress of individual tasks and alerts stakeholders of issues blocking or preventing completion of task.
Ensures the quality of the code write through the development of automated tests (unit, performance, user interface).
Conduct code reviews to ensure integrity and cross-product consistency.
Works closely with testing by providing thorough reviews of the test plan and communicate when updates to the plan should be made to cover code changes related to enhancements, redesigns and/or bug fixes.
In collaboration with technical writers, authors appropriate level of design and technical documentation for proposals.
Works with multiple operating systems and anticipate technical anomalies and enhancements for various environments.
Perform unit testing of software, fix “bugs”, modify software design, as necessary.
Determines database compatibility and develops compatible code as appropriate.
May interact with external clients/suppliers with supervision.
Performs other duties as assigned.


Requirements
Required Skills/Abilities:
Maintain US Citizenship.
Maintain Security Clearance.
Exceptional aptitude for problem solving and debugging of complex multitiered software applications.
Ability to pivot quickly and seamlessly as projects and business needs dictate.
Detail oriented and well-organized with a strong ability to prioritize, plan, and execute tasks.
Highly skilled in written and verbal communications.
Comfortable working in a distributed, team-based environment.
Well-versed in a broad set of languages such as Go, Java, React, JavaScript, Python.
Experience with some of the software tools such as Docker, Jenkins, Git, Gerrit, Hibernate, and Kubernetes.
Experience with Windows or Linux.
Experience contributing at least one or more levels of the software stack.
Approach every task with a quality-first mindset.
Education/Training/Experience:
BS or higher in Computer Science, Computer Engineering or related field.
MS and/or professional certifications are a plus.
Entry level to 5 years related professional experience.
Experience in one or more of the following areas: system analysis, requirements development, algorithm design, or modeling and simulation.
Experience with some of the software tools such as Docker, Jenkins, Git, Gerrit, Hibernate, and Kubernetes.
Experience with Windows or Linux.
Experience contributing at least one or more levels of the software stack.
Company Overview
Since 2004, Vadum has built a brand known for practical innovation that delivers solutions to customers in the competitive field of national defense research and development. Vadum’s expertise is bringing concepts to life in the form of products or prototypes to address challenging national defense problems. The Vadum team has a wide range of deep operational and technical expertise to develop concepts that work in conjunction with legacy capabilities or create new capabilities.
Vadum offers a comprehensive benefit program, including:
Medical, Dental, Vision and Life Insurance
Flexible Spending Account
401k (k) with up to 4% company match
Paid Time Off (Sick, Vacation)
13 Paid Holidays
Tuition Reimbursement
Voluntary Benefit Offerings (STD, Critical Illness and Hospital Indemnity Insurance, Legal Plan)
Work/life balance
Vadum Inc. is an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, age, genetic trait, sexual orientation, national origin, disability status, or any other characteristic protected by law.
Vadum Inc. is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact the Human Resources Department at (919) 341-8241 ext.: 180.
Apply Here"
Data Science Education Postdoctoral Scholar,https://www.indeed.com/rc/clk?jk=07fc0c18bf75aa46&fccid=662e23242ca7a7c3&vjs=3,job_07fc0c18bf75aa46,,"Position Information
Posting Number
PG191069PD

Position Number
00110398

Position Type
Post Doc

FLSA

Departmental Information
Department ID
231010 - Data Science Academy

Department
231010 - Data Science Academy

Job City & State
Raleigh,NC"
"Data Engineer (Hybrid, Raleigh, NC, US)",https://www.indeed.com/rc/clk?jk=81302a03a41c5d35&fccid=e5ba9f1c6d89d233&vjs=3,job_81302a03a41c5d35,,"We are seeking a highly skilled and motivated Senior Data Engineer with a strong focus on the Microsoft Azure tech stack. The ideal candidate will have a deep understanding of data architecture, data modeling, and data processing, with a proven track record of leveraging Azure services to build robust, scalable data & analytics solutions for the purpose of delivering AI, machine learning, and data visualization solutions for mid-market and enterprise organizations.

Responsibilities

1. Design, build, and maintain data pipelines in Azure, using services such as Azure Data Factory, Azure Databricks, Azure Synapse Analytics, and Azure SQL Database.

2. Implement data storage solutions using Azure Blob Storage, Azure Data Lake, and Azure Cosmos DB.

3. Develop and optimize data processing algorithms and data sets to support data analytics and machine learning initiatives.

4. Work closely with data scientists, analysts, and other stakeholders to understand data needs and implement solutions.

5. Ensure data quality and integrity using Azure Purview and other data governance tools.
6. Monitor and troubleshoot data pipelines, implementing fixes and improvements as needed.

7. Stay up to date with the latest Azure services and technologies, and advocate for their adoption where appropriate.

Qualifications

1. Bachelor's degree in Computer Science, Information Systems, or a related field. Advanced degree preferred.

2. 5+ years of experience in data engineering using the Azure tech stack.
3. Proficiency in SQL and experience with Python and/or another scripting language.

4. Experience with Azure Data Factory, Azure Databricks, Azure Synapse Analytics, and other Azure data services.

5. Knowledge of data warehousing concepts and best practices.
6. Strong problem-solving skills and the ability to work independently and in a team.

7. Excellent English communication skills, with the ability to explain complex technical concepts to non-technical stakeholders."
