Skill,Category,Count
Machine Learning,Machine Learning Algorithms/Models,47
Python (Programming Language),Programming Languages,46
Computer Science,Other,35
Data Science,Data Analytics & Visualization,31
Innovation,Business and Communication,29
Communications,Business and Communication,29
Deep Learning,Machine Learning Algorithms/Models,23
Research,Problem Solving and Research,23
Algorithms,Problem Solving and Research,21
PyTorch (Machine Learning Library),Tools and Libraries,19
Scalability,Other,19
Amazon Web Services,Cloud and Infrastructure,19
SQL (Programming Language),Data Management,18
R (Programming Language),Programming Languages,18
Mathematics,Mathematics and Statistics,17
TensorFlow,Machine Learning Algorithms/Models,17
Natural Language Processing,Machine Learning Algorithms/Models,16
Writing,Business and Communication,14
Data Analysis,Data Analytics & Visualization,13
Scikit-Learn (Python Package),Tools and Libraries,12
Application Programming Interface (API),Tools and Libraries,12
Apache Spark,Cloud and Infrastructure,12
Problem Solving,Problem Solving and Research,12
DevOps,Cloud and Infrastructure,12
Microsoft Azure,Cloud and Infrastructure,12
Tableau (Business Intelligence Software),Data Analytics & Visualization,10
Statistics,Mathematics and Statistics,10
Detail Oriented,Other,10
Software Engineering,Programming Languages,10
MLOps (Machine Learning Operations),Other,9
Java (Programming Language),Programming Languages,9
Security Clearance,Other,9
Docker (Software),Cloud and Infrastructure,9
C++ (Programming Language),Programming Languages,9
Linux,Other,9
Git (Version Control System),Tools and Libraries,9
Artificial Intelligence,Machine Learning Algorithms/Models,9
CI/CD,Other,9
Leadership,Business and Communication,8
Data Pipelines,Data Management,8
Kubernetes,Cloud and Infrastructure,8
JavaScript (Programming Language),Programming Languages,8
Management,Business and Communication,8
Operations,Other,8
Unstructured Data,Other,8
Pandas (Python Package),Data Analytics & Visualization,8
Automation,Other,8
Large Language Modeling,Machine Learning Algorithms/Models,8
Unit Testing,Programming Languages,8
Cloud Computing,Cloud and Infrastructure,7
Computer Vision,Machine Learning Algorithms/Models,7
Self-Motivation,Business and Communication,7
Agile Methodology,Other,7
Debugging,Other,7
Curiosity,Other,7
C (Programming Language),Programming Languages,7
Predictive Modeling,Machine Learning Algorithms/Models,7
Extract Transform Load (ETL),Data Management,7
Applied Mathematics,Mathematics and Statistics,7
Software Development,Programming Languages,7
Authorization (Computing),Other,6
Nvidia CUDA,Tools and Libraries,6
NumPy (Python Package),Tools and Libraries,6
Keras (Neural Network Library),Tools and Libraries,6
Statistical Modeling,Mathematics and Statistics,6
Honesty,Business and Communication,6
Advanced Analytics,Data Analytics & Visualization,6
Version Control,Tools and Libraries,6
Physics,Mathematics and Statistics,6
Data Engineering,Data Management,6
Generative Artificial Intelligence,Machine Learning Algorithms/Models,6
Dashboard,Data Analytics & Visualization,6
Relational Databases,Data Management,6
Operations Research,Mathematics and Statistics,6
Presentations,Business and Communication,6
Jenkins,Tools and Libraries,6
Machine Learning Algorithms,Machine Learning Algorithms/Models,5
Finance,Business and Communication,5
English Language,Business and Communication,5
Github,Tools and Libraries,5
Troubleshooting (Problem Solving),Problem Solving and Research,5
Data Warehousing,Data Management,5
Marketing,Business and Communication,5
NoSQL,Data Management,5
Planning,Other,5
Electrical Engineering,Other,5
React.js (Javascript Library),Programming Languages,5
Artificial Neural Networks,Machine Learning Algorithms/Models,5
Investigation,Problem Solving and Research,5
Decision Making,Other,5
Computer Engineering,Other,5
Big Data,Data Management,5
Apache Hadoop,Cloud and Infrastructure,5
Business Requirements,Business and Communication,5
Technology Solutions,Other,5
Apache Hive,Data Management,5
Technical Documentation,Business and Communication,5
Computer Architecture,Other,5
Consulting,Business and Communication,5
Data Visualization,Data Analytics & Visualization,5
Chemistry,Other,5
Perl (Programming Language),Programming Languages,4
Systems Analysis,Data Management,4
Simulations,Other,4
Financial Services,Business and Communication,4
Code Review,Programming Languages,4
Feature Engineering,Data Analytics & Visualization,4
Environmental Science,Other,4
Project Management,Business and Communication,4
Teamwork,Business and Communication,4
RESTful API,Tools and Libraries,4
